numbers,valid,location
(289) 639-4672,True,Ontario
(665) 600-9044,False,n/a
(261) 872-8021,False,n/a
(692) 238-8354,False,n/a
(915) 612-3196,True,Texas
(297) 529-7696,False,n/a
(520) 815-5811,True,Arizona
(888) 931-5885,True,n/a
(778) 621-2242,True,British Columbia
(569) 552-2601,False,n/a
(289) 899-5437,True,Ontario
(924) 578-1221,False,n/a
(488) 623-5887,False,n/a
(528) 759-1572,False,n/a
(467) 713-7769,False,n/a
(250) 963-0555,True,"Prince George, BC"
(509) 878-4353,True,Washington State
(529) 747-8654,False,n/a
(986) 515-4085,True,Idaho
(342) 448-6751,False,n/a
(928) 925-4718,True,Arizona
(203) 285-3842,True,Connecticut
(906) 482-8457,True,Michigan
(865) 569-2970,True,Tennessee
(585) 322-2308,True,New York
(309) 464-9214,True,Illinois
(435) 298-9119,True,Utah
(332) 841-3712,True,"New York, NY"
(980) 903-9215,True,North Carolina
(426) 511-9892,False,n/a
(347) 888-4290,True,New York
(406) 470-4217,True,Montana
(332) 680-2938,True,"New York, NY"
(305) 382-7419,True,"Miami, FL"
(942) 572-3268,False,n/a
(913) 395-8746,True,Kansas
(945) 493-0168,False,n/a
(336) 515-5576,True,North Carolina
(887) 681-7401,False,n/a
(746) 998-6020,False,n/a
(523) 396-1320,False,n/a
(578) 643-8520,False,n/a
(898) 326-1985,False,n/a
(725) 610-7263,True,Nevada
(437) 572-3425,True,Ontario
(928) 363-8684,True,Arizona
(605) 622-5991,True,"Aberdeen, SD"
(355) 788-9447,False,n/a
(271) 677-3308,False,n/a
(572) 623-9960,False,n/a
(374) 913-6521,False,n/a
(352) 890-0557,True,Florida
(839) 843-8332,False,n/a
(261) 998-4204,False,n/a
(759) 680-5096,False,n/a
(241) 775-9272,False,n/a
(876) 261-7867,True,Jamaica
(309) 591-1948,True,Illinois
(363) 504-0293,False,n/a
(315) 666-4525,True,New York
(425) 834-6677,True,Washington State
(570) 825-0215,True,"Wilkes-Barre, PA"
(674) 787-6777,False,n/a
(460) 818-8822,False,n/a
(513) 777-0831,True,"West Chester, OH"
(553) 291-7871,False,n/a
(459) 477-0152,False,n/a
(866) 485-2597,True,n/a
(517) 587-0332,True,Michigan
(769) 882-9916,True,Mississippi
(627) 506-3632,False,n/a
(956) 395-6414,True,Texas
(790) 622-3180,False,n/a
(975) 449-6788,False,n/a
(845) 749-4374,True,New York
(720) 694-8614,True,Colorado
(519) 795-9965,True,Ontario
(809) 787-3446,True,Dominican Republic
(640) 882-7826,True,New Jersey
(232) 728-4954,False,n/a
(570) 578-2928,True,Pennsylvania
(837) 406-4775,False,n/a
(762) 792-8129,True,Georgia
(596) 274-2292,False,n/a
(682) 980-8590,True,Texas
(882) 889-3347,False,n/a
(550) 478-4552,False,n/a
(929) 334-4891,True,New York
(402) 858-5466,True,Nebraska
(354) 832-9525,False,n/a
(986) 876-5342,True,Idaho
(715) 671-3357,True,Wisconsin
(871) 614-4200,False,n/a
(273) 734-5615,False,n/a
(391) 833-6655,False,n/a
(992) 290-5928,False,n/a
(350) 738-0571,False,n/a
(797) 381-0235,False,n/a
(938) 842-2579,True,Alabama
(797) 317-0869,False,n/a
(596) 939-9772,False,n/a
(590) 687-3082,False,n/a
(925) 816-1952,True,California
(486) 646-0347,False,n/a
(460) 371-3846,False,n/a
(612) 999-3567,True,Minnesota
(558) 511-5946,False,n/a
(245) 844-5239,False,n/a
(603) 529-0605,True,"Weare, NH"
(527) 358-6102,False,n/a
(474) 879-3780,False,n/a
(866) 211-7827,True,n/a
(398) 608-1016,False,n/a
(460) 661-0927,False,n/a
(423) 464-0692,True,Tennessee
(505) 654-5240,True,New Mexico
(667) 359-5701,True,Maryland
(849) 641-5289,True,Dominican Republic
(760) 424-4617,True,California
(963) 792-3430,False,n/a
(548) 613-8899,True,Ontario
(867) 685-5199,True,Northwest Territories/Nunavut/Yukon
(723) 524-6295,False,n/a
(727) 674-3420,True,Florida
(570) 331-7571,True,"Kingston, PA"
(773) 494-0713,True,"Chicago, IL"
(353) 944-9077,False,n/a
(431) 232-2855,True,Manitoba
(630) 602-0063,True,Illinois
(464) 266-9843,False,n/a
(708) 689-4285,True,Illinois
(353) 430-9613,False,n/a
(890) 328-5480,False,n/a
(775) 367-6358,True,Nevada
(937) 370-1386,True,Ohio
(428) 903-2471,False,n/a
(685) 735-6840,False,n/a
(681) 856-9417,True,West Virginia
(241) 684-0350,False,n/a
(769) 315-2878,True,Mississippi
(685) 385-5632,False,n/a
(959) 947-4406,True,Connecticut
(697) 496-0540,False,n/a
(275) 799-2298,False,n/a
(625) 440-2861,False,n/a
(655) 974-2287,False,n/a
(351) 700-1450,True,Massachusetts
(348) 530-4673,False,n/a
(923) 917-2499,False,n/a
(241) 580-9396,False,n/a
(822) 568-6082,False,n/a
(652) 317-2864,False,n/a
(907) 760-3165,True,Alaska
(404) 297-5596,True,Georgia
(215) 778-8436,True,Pennsylvania
(401) 591-3699,True,Rhode Island
(605) 855-9554,True,South Dakota
(598) 931-0662,False,n/a
(972) 586-3711,True,Texas
(963) 507-6309,False,n/a
(956) 928-5428,True,"McAllen, TX"
(905) 434-2399,True,"Oshawa, ON"
(475) 610-9920,True,Connecticut
(571) 807-6004,True,Virginia
(779) 861-4123,True,Illinois
(944) 395-9951,False,n/a
(993) 800-1969,False,n/a
(784) 967-1286,False,n/a
(207) 710-3791,True,Maine
(379) 705-9173,False,n/a
(944) 358-5581,False,n/a
(972) 395-7123,True,"Carrollton, TX"
(272) 882-7496,True,Pennsylvania
(531) 880-5495,True,Nebraska
(453) 303-8162,False,n/a
(437) 532-2545,True,Ontario
(799) 867-7659,False,n/a
(420) 370-5228,False,n/a
(635) 728-9711,False,n/a
(969) 447-7231,False,n/a
(902) 356-3841,True,Nova Scotia/Prince Edward Island
(340) 262-0782,False,n/a
(317) 389-4054,True,Indiana
(737) 290-9345,True,Texas
(769) 625-7662,True,Mississippi
(620) 420-2489,True,Kansas
(827) 796-5792,False,n/a
(499) 740-7083,False,n/a
(811) 417-9079,False,n/a
(694) 532-7557,False,n/a
(713) 686-7768,True,"Houston, TX"
(896) 293-2053,False,n/a
(552) 996-3136,False,n/a
(653) 866-8471,False,n/a
(704) 746-4087,True,North Carolina
(490) 419-8546,False,n/a
(466) 887-8227,False,n/a
(306) 871-4455,True,Saskatchewan
(789) 673-3932,False,n/a
(436) 364-6251,False,n/a
(592) 383-6815,False,n/a
(740) 603-6052,True,Ohio
(398) 338-7102,False,n/a
(772) 330-3137,True,Florida
(962) 661-0461,False,n/a
(626) 953-1097,True,California
(642) 345-4057,False,n/a
(772) 572-4173,True,Florida
(518) 477-2844,True,New York
(421) 305-7272,False,n/a
(545) 917-2371,False,n/a
(836) 993-2433,False,n/a
(683) 802-7866,False,n/a
(577) 364-3293,True,n/a
(640) 941-0621,True,New Jersey
(554) 415-6884,False,n/a
(899) 649-8496,False,n/a
(217) 937-7290,True,Illinois
(305) 668-1350,True,"Miami, FL"
(866) 493-5051,True,n/a
(942) 695-7834,False,n/a
(228) 818-3461,True,"Ocean Springs, MS"
(475) 633-3252,True,Connecticut
(813) 698-4203,True,Florida
(687) 567-7305,False,n/a
(796) 988-9602,False,n/a
(452) 217-0048,False,n/a
(643) 663-1730,False,n/a
(848) 234-8009,True,New Jersey
(752) 454-5616,False,n/a
(371) 632-2439,False,n/a
(320) 206-1221,True,Minnesota
(945) 366-2240,False,n/a
(589) 915-6939,False,n/a
(741) 710-2355,False,n/a
(522) 207-9467,True,n/a
(325) 384-2018,True,Texas
(901) 907-3499,True,Tennessee
(205) 996-0770,True,"Birmingham, AL"
(394) 486-8032,False,n/a
(839) 446-4571,False,n/a
(665) 890-0407,False,n/a
(768) 803-5781,False,n/a
(753) 424-1830,False,n/a
(616) 610-5054,True,Michigan
(218) 286-3952,True,Minnesota
(395) 865-0359,False,n/a
(960) 806-4458,False,n/a
(582) 466-0577,False,n/a
(690) 600-0370,False,n/a
(508) 824-7216,True,"Taunton, MA"
(547) 209-9975,False,n/a
(635) 272-3681,False,n/a
(234) 437-2744,True,Ohio
(746) 428-1984,False,n/a
(920) 854-3935,True,"Sister Bay, WI"
(414) 286-6642,True,"Milwaukee, WI"
(866) 727-3286,True,n/a
(854) 346-7924,True,Ohio
(233) 965-8459,False,n/a
(316) 449-7680,True,Kansas
(374) 766-0931,False,n/a
(942) 527-9579,False,n/a
(840) 802-0533,False,n/a
(761) 496-9321,False,n/a
(592) 657-6217,False,n/a
(758) 442-3827,False,n/a
(341) 954-9418,True,California
(284) 609-5802,False,n/a
(271) 338-4610,False,n/a
(920) 541-8102,True,Wisconsin
(227) 673-7465,False,n/a
(576) 433-4445,False,n/a
(973) 830-2680,True,New Jersey
(284) 655-7442,False,n/a
(449) 495-8035,False,n/a
(460) 802-4446,False,n/a
(907) 562-4373,True,"Anchorage, AK"
(700) 563-4021,False,n/a
(903) 365-2303,True,Texas
(882) 455-0831,False,n/a
(313) 475-8965,True,Michigan
(373) 976-0060,False,n/a
(996) 690-2734,False,n/a
(475) 987-0069,True,Connecticut
(678) 821-3628,True,Georgia
(327) 246-9291,False,n/a
(826) 354-9583,False,n/a
(692) 307-5495,False,n/a
(691) 782-9752,False,n/a
(817) 273-8288,True,Texas
(632) 350-7413,False,n/a
(849) 304-1176,True,Dominican Republic
(355) 354-3815,False,n/a
(432) 698-7158,True,Texas
(548) 666-5046,True,Ontario
(681) 882-3744,True,West Virginia
(282) 238-9503,False,n/a
(866) 845-8042,True,n/a
(893) 225-1751,False,n/a
(716) 421-8185,True,New York
(600) 993-5743,True,Canada
(241) 563-7850,False,n/a
(803) 609-0850,True,South Carolina
(383) 230-5592,False,n/a
(713) 320-6537,True,Texas
(357) 431-6762,False,n/a
(364) 340-9836,True,Kentucky
(820) 998-1522,True,California
(352) 429-1586,True,"Groveland, FL"
(848) 394-6272,True,New Jersey
(448) 388-9522,False,n/a
(932) 707-6957,False,n/a
(868) 732-0941,True,Trinidad & Tobago
(509) 444-0543,True,"Spokane, WA"
(941) 778-6131,True,Florida
(863) 226-7392,True,Florida
(646) 296-1876,True,New York
(777) 521-5703,False,n/a
(799) 853-0380,False,n/a
(996) 551-1046,False,n/a
(609) 703-2219,True,New Jersey
(704) 857-4259,True,"China Grove, NC"
(630) 496-9000,True,Illinois
(913) 420-8256,True,Kansas
(889) 807-3824,False,n/a
(770) 377-8392,True,Georgia
(611) 408-6776,False,n/a
(242) 888-1914,False,n/a
(705) 708-6457,True,Ontario
(476) 767-2155,False,n/a
(789) 211-8023,False,n/a
(218) 397-5874,True,Minnesota
(532) 925-0406,False,n/a
(494) 716-1757,False,n/a
(996) 467-1379,False,n/a
(596) 625-2360,False,n/a
(683) 892-5894,False,n/a
(823) 664-8462,False,n/a
(249) 692-8952,True,Ontario
(691) 781-0770,False,n/a
(583) 608-4058,False,n/a
(371) 698-4027,False,n/a
(231) 449-3602,True,Michigan
(735) 645-3761,False,n/a
(718) 682-1498,True,New York
(960) 787-2338,False,n/a
(397) 263-5416,False,n/a
(492) 508-8230,False,n/a
(835) 968-1569,False,n/a
(630) 767-9085,True,Illinois
(848) 989-5349,True,New Jersey
(467) 643-0683,False,n/a
(378) 933-0043,False,n/a
(714) 540-7734,True,California
(258) 556-1083,False,n/a
(220) 248-7571,True,Ohio
(319) 593-7275,True,Iowa
(912) 271-7187,True,Georgia
(295) 401-5489,False,n/a
(286) 712-0189,False,n/a
(492) 562-9922,False,n/a
(726) 669-4733,True,"San Antonio, TX"
(484) 756-9986,True,Pennsylvania
(608) 543-4970,True,Wisconsin
(679) 643-4271,False,n/a
(884) 430-3808,False,n/a
(387) 785-4669,False,n/a
(761) 703-8183,False,n/a
(527) 470-6626,False,n/a
(704) 505-7314,True,North Carolina
(286) 356-2268,False,n/a
(558) 619-0690,False,n/a
(563) 824-6198,True,Iowa
(243) 828-6648,False,n/a
(731) 968-3776,True,"Lexington, TN"
(659) 524-0918,False,n/a
(547) 646-5914,False,n/a
(829) 400-5137,True,Dominican Republic
(378) 970-0494,False,n/a
(361) 311-0684,True,Texas
(243) 258-4396,False,n/a
(707) 366-3178,True,California
(703) 859-5287,True,Virginia
(977) 463-6776,False,n/a
(994) 931-6875,False,n/a
(876) 750-4007,True,Jamaica
(806) 538-1702,True,Texas
(213) 397-0149,True,"Los Angeles, CA"
(763) 264-1478,True,Minnesota
(521) 444-0324,True,n/a
(840) 762-7611,False,n/a
(674) 973-0078,False,n/a
(350) 978-3925,False,n/a
(638) 870-7735,False,n/a
(218) 568-7571,True,"Pequot Lakes, MN"
(944) 872-3452,False,n/a
(654) 358-9689,False,n/a
(441) 950-8170,False,n/a
(436) 644-4119,False,n/a
(436) 479-2383,False,n/a
(842) 875-1674,False,n/a
(921) 309-2857,False,n/a
(647) 789-1727,True,Ontario
(510) 292-7279,True,California
(910) 637-9631,True,North Carolina
(934) 731-4520,True,"New York, NY"
(450) 779-7476,True,Quebec
(951) 407-9738,True,California
(558) 560-3250,False,n/a
(867) 378-8585,True,Northwest Territories/Nunavut/Yukon
(451) 712-6496,False,n/a
(211) 635-1691,False,n/a
(947) 475-4975,True,Michigan
(436) 776-8029,False,n/a
(233) 694-5889,False,n/a
(495) 879-1224,False,n/a
(481) 566-2987,False,n/a
(805) 408-0315,True,California
(515) 686-7293,True,Iowa
(427) 813-3007,False,n/a
(525) 345-6826,False,n/a
(490) 265-1630,False,n/a
(276) 440-4484,True,Virginia
(971) 433-2870,True,Oregon
(812) 357-7058,True,Indiana
(755) 541-7760,False,n/a
(794) 524-6871,False,n/a
(882) 539-3220,False,n/a
(202) 725-6611,True,Washington D.C.
(742) 524-0588,False,n/a
(455) 333-2031,False,n/a
(370) 954-2350,False,n/a
(529) 856-2171,False,n/a
(645) 923-1210,False,n/a
(223) 372-5963,True,Pennsylvania
(840) 750-5100,False,n/a
(631) 950-6786,True,New York
(933) 721-9004,False,n/a
(825) 580-7471,True,Alberta
(291) 708-0942,False,n/a
(785) 842-7047,True,"Lawrence, KS"
(440) 431-9127,True,Ohio
(256) 778-1711,True,"Somerville, AL"
(234) 983-3346,True,Ohio
(730) 930-3938,False,n/a
(328) 969-5260,False,n/a
(401) 284-0667,True,Rhode Island
(705) 443-6453,True,"Collingwood, ON"
(759) 620-1939,False,n/a
(717) 819-2642,True,Pennsylvania
(480) 374-5045,True,Arizona
(868) 833-9656,False,n/a
(399) 371-4361,False,n/a
(807) 811-7529,True,Ontario
(527) 511-5883,False,n/a
(736) 766-9235,False,n/a
(302) 866-1644,True,Delaware
(814) 725-2482,True,"North East, PA"
(597) 356-4348,False,n/a
(621) 532-7566,False,n/a
(975) 658-8769,False,n/a
(402) 292-0051,True,"Bellevue, NE"
(419) 636-9721,True,"Bryan, OH"
(450) 236-6574,True,Quebec
(833) 772-4639,True,n/a
(829) 333-4082,True,Dominican Republic
(491) 734-1991,False,n/a
(984) 366-3177,True,North Carolina
(448) 971-1939,False,n/a
(529) 968-6892,False,n/a
(415) 465-6890,True,California
(697) 919-0513,False,n/a
(556) 872-9506,False,n/a
(764) 259-7673,False,n/a
(530) 771-0735,True,California
(872) 684-0685,True,"Chicago, IL"
(391) 674-0276,False,n/a
(791) 422-2154,False,n/a
(902) 210-5961,True,Nova Scotia/Prince Edward Island
(212) 230-8181,True,"New York, NY"
(589) 674-6708,False,n/a
(895) 622-1958,False,n/a
(383) 889-9806,False,n/a
(362) 591-0195,False,n/a
(515) 781-4721,True,Iowa
(798) 628-8193,False,n/a
(857) 976-9526,True,Massachusetts
(893) 891-8969,False,n/a
(368) 633-9258,False,n/a
(838) 642-8234,True,New York
(330) 565-6942,True,Ohio
(801) 803-1796,True,Utah
(592) 699-4621,False,n/a
(503) 539-5566,True,Oregon
(200) 468-1193,False,n/a
(998) 870-1392,False,n/a
(217) 650-4158,True,Illinois
(529) 338-1939,False,n/a
(314) 577-3884,True,"St. Louis, MO"
(786) 683-2177,True,Florida
(231) 808-5677,True,Michigan
(438) 511-9779,True,Quebec
(316) 283-8821,True,"Newton, KS"
(280) 653-8857,False,n/a
(502) 670-1502,True,Kentucky
(256) 293-8678,True,Alabama
(827) 679-4775,False,n/a
(957) 420-1635,False,n/a
(206) 514-6683,True,Washington State
(761) 294-8938,False,n/a
(614) 744-8516,True,Ohio
(283) 793-1591,True,Ohio
(983) 422-0064,False,n/a
(424) 601-2497,True,California
(703) 931-2818,True,Virginia
(533) 255-8935,True,n/a
(745) 406-1164,False,n/a
(567) 946-9022,True,Ohio
(728) 696-1543,False,n/a
(818) 962-1907,True,California
(226) 393-2304,True,Ontario
(814) 917-1773,True,Pennsylvania
(912) 433-8842,True,Georgia
(736) 315-6630,False,n/a
(592) 533-5867,False,n/a
(798) 460-0572,False,n/a
(856) 346-6146,True,New Jersey
(375) 304-8881,False,n/a
(847) 497-6557,True,Illinois
(469) 223-6770,True,Texas
(856) 660-1985,True,New Jersey
(599) 402-6270,False,n/a
(428) 351-2854,False,n/a
(913) 616-9701,True,Kansas
(681) 310-3109,True,West Virginia
(757) 915-3865,True,Virginia
(872) 380-8705,True,"Chicago, IL"
(237) 596-1951,False,n/a
(486) 489-1179,False,n/a
(469) 301-6147,True,Texas
(461) 553-5080,False,n/a
(982) 314-0929,False,n/a
(936) 758-2196,True,Texas
(484) 469-4820,True,Pennsylvania
(308) 449-6218,True,Nebraska
(202) 390-9639,True,Washington D.C.
(844) 640-6056,True,n/a
(935) 771-8410,False,n/a
(777) 421-5368,False,n/a
(820) 440-4104,True,California
(334) 521-4339,True,Alabama
(980) 233-0803,True,North Carolina
(393) 252-1674,False,n/a
(938) 904-3469,True,Alabama
(309) 901-3402,True,Illinois
(435) 928-3517,True,Utah
(875) 930-0935,False,n/a
(544) 918-3810,True,n/a
(576) 595-7314,False,n/a
(514) 695-1542,True,"Pointe-Claire, QC"
(992) 476-9415,False,n/a
(294) 677-0363,False,n/a
(658) 823-9292,True,Jamaica
(332) 686-3235,True,"New York, NY"
(843) 740-2964,True,"North Charleston, SC"
(576) 270-5432,False,n/a
(868) 903-1596,False,n/a
(299) 206-5231,False,n/a
(313) 828-1004,True,Michigan
(561) 853-5042,True,Florida
(613) 488-8736,True,Ontario
(949) 233-3762,True,California
(214) 440-5057,True,Texas
(703) 800-5284,True,Virginia
(997) 401-2537,False,n/a
(243) 794-4502,False,n/a
(848) 908-3347,True,New Jersey
(507) 965-8943,True,Minnesota
(315) 786-8996,True,"Watertown, NY"
(277) 365-1512,False,n/a
(638) 661-7880,False,n/a
(763) 751-0692,True,Minnesota
(309) 485-9474,True,Illinois
(736) 628-5254,False,n/a
(613) 820-2639,True,Ontario
(588) 752-4652,True,n/a
(532) 703-6564,False,n/a
(975) 587-3202,False,n/a
(324) 711-7566,False,n/a
(237) 821-0464,False,n/a
(900) 591-7740,True,n/a
(375) 216-7692,False,n/a
(421) 780-9593,False,n/a
(543) 742-2703,False,n/a
(328) 680-7813,False,n/a
(576) 950-7583,False,n/a
(248) 796-7894,True,"Southfield, MI"
(924) 427-7332,False,n/a
(607) 253-9274,True,New York
(219) 317-0544,True,Indiana
(849) 998-4530,True,Dominican Republic
(490) 812-8218,False,n/a
(309) 735-6783,True,Illinois
(414) 542-9704,True,Wisconsin
(738) 460-6465,False,n/a
(758) 423-6168,False,n/a
(991) 348-1767,False,n/a
(835) 869-9331,False,n/a
(486) 261-2736,False,n/a
(244) 869-7598,False,n/a
(238) 457-7347,False,n/a
(596) 267-6165,False,n/a
(433) 706-6569,False,n/a
(690) 583-1598,False,n/a
(701) 532-3560,True,North Dakota
(965) 646-7191,False,n/a
(660) 397-8896,True,"Edina, MO"
(486) 502-7735,False,n/a
(607) 565-8936,True,"Waverly, NY"
(388) 496-6004,False,n/a
(566) 708-7634,True,n/a
(833) 827-4953,True,n/a
(850) 410-0620,True,Florida
(560) 951-6961,False,n/a
(595) 809-9052,False,n/a
(766) 236-2472,False,n/a
(822) 558-7268,False,n/a
(394) 998-7445,False,n/a
(524) 370-7967,False,n/a
(749) 549-4838,False,n/a
(763) 350-4698,True,Minnesota
(458) 901-1891,True,Oregon
(731) 472-2986,True,Tennessee
(314) 793-9265,True,Missouri
(207) 667-0960,True,"Ellsworth, ME"
(937) 794-2573,True,Ohio
(924) 516-8660,False,n/a
(626) 580-3237,True,California
(810) 661-1655,True,Michigan
(945) 784-3212,False,n/a
(473) 918-2489,False,n/a
(988) 887-4614,False,n/a
(623) 714-3614,True,Arizona
(710) 484-4668,True,United States
(299) 885-7479,False,n/a
(508) 853-9520,True,"Worcester, MA"
(995) 223-1343,False,n/a
(998) 963-1298,False,n/a
(854) 827-3181,True,Ohio
(551) 440-9129,True,New Jersey
(438) 831-5800,True,Quebec
(506) 956-9501,True,New Brunswick
(957) 586-7378,False,n/a
(535) 343-3850,False,n/a
(777) 583-3988,False,n/a
(455) 821-6059,False,n/a
(364) 889-6509,True,Kentucky
(310) 811-4961,True,California
(878) 774-4954,True,Pennsylvania
(677) 630-5840,False,n/a
(797) 401-9806,False,n/a
(777) 610-4274,False,n/a
(394) 805-1138,False,n/a
(694) 989-4530,False,n/a
(639) 749-4434,True,Saskatchewan
(299) 355-1976,False,n/a
(518) 969-3438,True,New York
(517) 927-2162,True,Michigan
(223) 261-6043,True,Pennsylvania
(573) 584-3794,True,Missouri
(990) 835-9465,False,n/a
(359) 283-7304,False,n/a
(715) 920-2015,True,Wisconsin
(228) 726-5728,True,Mississippi
(564) 262-0603,True,Washington State
(794) 384-8347,False,n/a
(215) 407-0437,True,Pennsylvania
(643) 550-3845,False,n/a
(360) 204-5126,True,Washington State
(940) 470-2228,True,Texas
(729) 911-5325,False,n/a
(371) 380-3206,False,n/a
(271) 314-6532,False,n/a
(974) 255-4614,False,n/a
(751) 641-3910,False,n/a
(996) 821-6940,False,n/a
(679) 306-0571,False,n/a
(737) 236-7119,True,Texas
(637) 283-3547,False,n/a
(776) 960-0202,False,n/a
(853) 281-3766,False,n/a
(506) 381-8962,True,New Brunswick
(229) 260-7815,True,Georgia
(900) 500-8471,True,n/a
(400) 976-6001,False,n/a
(587) 510-4003,True,Alberta
(207) 470-1618,True,Maine
(651) 538-5679,True,Minnesota
(445) 431-9970,True,Philadelphia
(362) 418-9432,False,n/a
(994) 954-6093,False,n/a
(845) 214-1539,True,New York
(922) 666-9176,False,n/a
(944) 358-7088,False,n/a
(564) 432-3330,True,Washington State
(775) 302-5284,True,Nevada
(856) 734-9852,True,New Jersey
(933) 584-2646,False,n/a
(670) 351-9093,False,n/a
(298) 891-4571,False,n/a
(707) 330-6853,True,California
(732) 331-0297,True,New Jersey
(678) 719-2532,True,Georgia
(655) 809-2498,False,n/a
(879) 345-7272,False,n/a
(936) 844-5507,True,Texas
(794) 364-5014,False,n/a
(780) 315-0667,True,Alberta
(745) 712-7420,False,n/a
(371) 770-7265,False,n/a
(625) 574-1162,False,n/a
(485) 565-1866,False,n/a
(456) 502-4612,False,n/a
(843) 603-7339,True,South Carolina
(930) 489-0846,True,Indiana
(672) 835-1340,False,n/a
(519) 379-7381,True,Ontario
(538) 650-3255,False,n/a
(744) 475-4822,False,n/a
(778) 213-1689,True,British Columbia
(828) 611-4449,True,North Carolina
(274) 245-6627,False,n/a
(260) 479-2386,True,Indiana
(544) 926-3184,True,n/a
(298) 957-3896,False,n/a
(818) 292-1448,True,California
(854) 714-3860,True,Ohio
(515) 339-7384,True,Iowa
(579) 301-7930,True,Quebec
(944) 297-5620,False,n/a
(253) 317-2454,True,Washington State
(284) 831-7562,False,n/a
(701) 647-2304,True,North Dakota
(597) 853-3243,False,n/a
(821) 808-4686,False,n/a
(858) 986-7145,True,California
(983) 978-1394,False,n/a
(201) 694-7319,True,New Jersey
(540) 738-4262,True,Virginia
(754) 830-0174,True,Florida
(951) 419-5486,True,California
(767) 475-7937,False,n/a
(654) 614-0181,False,n/a
(598) 783-3382,False,n/a
(830) 797-8458,True,Texas
(437) 517-1874,True,Ontario
(628) 948-6066,True,California
(505) 299-7599,True,"Albuquerque, NM"
(868) 852-4374,False,n/a
(380) 450-3778,True,Ohio
(497) 261-1653,False,n/a
(972) 972-5132,True,Texas
(518) 920-4527,True,New York
(335) 373-0145,False,n/a
(349) 601-2923,False,n/a
(577) 588-1597,True,n/a
(840) 981-4736,False,n/a
(264) 813-1453,False,n/a
(276) 759-1270,True,Virginia
(734) 624-4498,True,Michigan
